Year,Solar,Nuclear,Hydro,Wind,Geothermal,Natural Gas,Coal,Biomass,Petroleum
1980,x,2.7,0.94,x,0.02,19.8,18.9,x,20.5
1981,x,2.9,0.89,x,0.02,19.9,19,x,20.4
1991,x,6.6,2.9,x,0.2,18.3,21.6,x,18
1992,x,6.6,2.5,x,0.2,18.3,21.6,x,17.5
1993,x,6.5,2.8,x,0.2,18.9,20.4,x,16.9
1994,x,6.8,2.5,x,0.2,19.4,22,x,16.4
1995,x,7.2,3.2,x,x,19.1,22,3.4,16.3
2010,0.13,8.4,2.5,0.92,0.21,25,21,3.5,36
2011,0.158,8.26,3.17,1.17,0.226,24.9,19.7,4.41,35.3
2012,0.235,8.05,2.69,1.36,0.227,26,17.4,4.32,34.7
2013,0.32,8.27,2.56,1.6,0.201,26.6,18,4.49,35.1
2014,0.427,8.33,2.47,1.73,0.202,27.5,17.9,4.78,34.8
2015,0.2,8.3,0.85,0.65,0.12,28.2,15.5,5,35.4
2016,0.25,8.4,0.91,0.77,0.12,28.5,14.2,5.1,35.7
2017,0.33,8.4,1,0.87,0.12,28.1,13.8,5,36
2018,0.38,8.4,1,0.93,0.12,31.2,13.2,5.1,36.9
2019,0.43,8.5,0.98,1,0.12,32.3,11.3,5.1,36.9
2020,0.51,8.3,0.97,1.2,0.12,31.7,9.2,4.5,32.3
2021,0.63,8.1,0.86,1.3,0.12,31.8,10.5,4.8,35.3
2022,0.76,8,0.87,1.5,0.12,33.4,9.9,4.9,35.3
2023,0.89,8.1,0.82,1.5,0.12,33.4,8.17,5,35.4