Year,Electricity Generation,Residential,Commercial,Industrial,Transportation
1980,21.6,16.5,16.5,23.3,18.6
1981,21.6,15.1,15.1,17.6,19.1
1991,29.8,16,16,16,22.1
1992,29.2,16.2,16.2,17.2,22.5
1993,30.2,16.8,16.8,17.2,22.8
1994,30.5,17,17,17.3,23.4
1995,31.3,17.9,17.9,20.2,23.9
2010,40,12,8.5,24,27
2011,39.2,11.4,8.59,23.6,27
2012,38.1,10.6,8.29,23.9,26.7
2013,38.2,11.4,8.59,24.7,27
2014,38.4,11.8,8.93,24.7,27.1
2015,34.8,11.2,9,24,27.2
2016,34.3,10.8,8.9,24,27.7
2017,33.5,10.7,8.9,24.4,28
2018,34.4,11.9,9.4,25.4,28.4
2019,33.2,11.9,9.4,25.5,28.5
2020,31.6,11.3,8.7,24.6,24.3
2021,32.4,11.4,9.1,25.4,27
2022,32.9,12,9.6,25.1,27.6
2023,32,11.3,9.3,26.1,28